danceability,energy,valence,tempo,loudness,acousticness,speechiness,instrumentalness,mood
0.741,0.697,0.774,116.109,-7.028,0.0664,0.0277,2.28e-05,Happy
0.62,0.579,0.691,127.215,-9.307,0.0152,0.0473,6.4e-05,Calm
0.502,0.912,0.72,116.761,-4.556,2.55e-05,0.0564,0.000173,Happy
0.466,0.833,0.661,88.785,-4.215,0.0266,0.304,0.0,Energetic
0.53,0.376,0.188,164.775,-11.913,0.0304,0.04,0.247,Sad
0.482,0.786,0.793,126.755,-5.735,0.00321,0.032,8.88e-05,Happy
0.674,0.789,0.918,129.802,-6.903,0.00178,0.0676,0.00708,Happy
0.519,0.441,0.25,81.334,-14.178,0.0204,0.0353,0.000453,Sad
0.743,0.836,0.82,113.375,-6.465,0.0804,0.116,0.0,Happy
0.932,0.528,0.757,109.975,-6.472,0.115,0.161,0.329,Calm
0.602,0.905,0.411,128.019,-4.046,0.000202,0.0775,0.064,Energetic
0.653,0.519,0.822,98.883,-10.164,0.406,0.0497,0.0209,Calm
0.454,0.946,0.647,138.18,-5.978,0.0223,0.13,0.0,Energetic
0.35,0.828,0.147,105.435,-5.373,0.000217,0.041,0.000161,Energetic
0.489,0.349,0.622,124.348,-14.295,0.676,0.0323,0.0789,Calm
0.587,0.872,0.735,159.925,-5.066,0.018,0.0484,0.0,Happy
0.577,0.808,0.869,151.008,-7.04,0.0338,0.039,1.33e-05,Happy
0.489,0.758,0.435,112.113,-6.491,0.000678,0.0297,0.49,Energetic
0.564,0.932,0.619,112.937,-10.068,0.013,0.0554,0.169,Energetic
0.388,0.338,0.478,177.765,-10.054,0.652,0.0329,3.73e-06,Calm
0.31,0.7,0.763,188.386,-5.678,0.011,0.047,0.00965,Happy
0.548,0.691,0.667,137.145,-13.553,0.015,0.0369,0.106,Calm
0.601,0.532,0.342,136.576,-9.119,0.433,0.0286,5.95e-06,Calm
0.256,0.641,0.382,203.006,-10.283,0.199,0.0552,0.0329,Calm
0.667,0.755,0.883,109.535,-7.246,0.0966,0.069,6.94e-05,Happy
0.671,0.373,0.732,92.718,-18.064,0.257,0.0323,8.01e-05,Calm
0.333,0.927,0.385,141.466,-8.55,0.0029,0.0733,0.000208,Energetic
0.767,0.787,0.964,126.879,-9.897,0.0163,0.0331,0.583,Happy
0.472,0.366,0.171,127.163,-12.595,0.15,0.0286,0.312,Sad
0.437,0.864,0.749,81.394,-7.842,0.396,0.0904,0.0314,Happy
0.509,0.584,0.685,170.411,-4.907,0.0368,0.057,9.96e-05,Calm
0.575,0.912,0.843,117.399,-7.275,0.0916,0.0393,0.00211,Happy
0.654,0.611,0.786,85.387,-10.45,0.0337,0.119,0.000178,Happy
0.529,0.482,0.492,138.453,-11.709,0.7,0.0599,0.0,Calm
0.618,0.748,0.663,134.114,-8.905,0.0384,0.358,4.1e-06,Calm
0.586,0.7,0.897,147.245,-9.558,0.0589,0.0363,0.00125,Happy
0.575,0.318,0.385,104.522,-16.729,0.683,0.109,0.000202,Sad
0.445,0.706,0.768,80.823,-9.803,0.234,0.0461,0.000252,Happy
0.574,0.913,0.423,115.728,-4.793,0.061,0.133,0.00158,Energetic
0.532,0.495,0.308,124.936,-6.662,0.659,0.0343,0.0,Sad
0.284,0.875,0.595,75.009,-6.069,0.00752,0.0422,0.000461,Energetic
0.662,0.737,0.744,103.867,-9.54,0.108,0.0296,0.0191,Happy
0.666,0.936,0.776,91.577,-9.919,0.00244,0.0476,0.086,Happy
0.475,0.432,0.648,94.605,-7.844,0.183,0.0302,0.0,Calm
0.516,0.549,0.907,176.941,-13.741,0.501,0.0373,0.00572,Calm
0.421,0.751,0.789,89.839,-9.584,0.2,0.0472,0.0,Happy
0.324,0.938,0.543,168.131,-7.332,0.032,0.102,0.0321,Energetic
0.267,0.953,0.568,84.989,-4.899,0.00211,0.096,0.0,Energetic
0.465,0.919,0.537,135.997,-4.025,1.83e-05,0.0408,2.07e-05,Energetic
0.741,0.58,0.944,127.402,-9.05,0.117,0.0304,3.61e-05,Calm
0.404,0.72,0.475,121.864,-9.18,5.59e-05,0.0623,0.836,Calm
0.215,0.927,0.49,170.814,-7.327,0.000273,0.0452,0.00661,Energetic
0.651,0.801,0.776,133.769,-7.34,0.123,0.0514,0.0,Happy
0.481,0.262,0.375,122.861,-15.73,0.735,0.0414,0.0114,Sad
0.623,0.449,0.573,84.383,-13.333,0.212,0.0253,0.0,Calm
0.389,0.476,0.566,148.117,-9.342,0.619,0.0316,5.09e-05,Calm
0.526,0.978,0.451,141.167,-5.436,0.00122,0.108,4.75e-05,Energetic
0.297,0.842,0.586,100.127,-7.457,0.000286,0.0488,9.1e-06,Energetic
0.27,0.944,0.606,146.347,-4.199,0.00501,0.0975,2.05e-05,Energetic
0.349,0.182,0.178,136.094,-13.507,0.92,0.031,0.0152,Sad
0.136,0.164,0.071,58.303,-18.756,0.911,0.0364,0.916,Sad
0.184,0.00527,0.151,170.612,-37.264,0.995,0.0432,0.887,Sad
0.447,0.449,0.036,92.468,-10.634,0.934,0.0376,0.961,Sad
0.505,0.812,0.664,80.09,-3.986,0.285,0.461,0.0,Energetic
0.872,0.507,0.506,130.007,-6.323,0.195,0.072,0.0,Calm
0.835,0.802,0.374,128.085,-4.286,0.0311,0.243,7.33e-06,Energetic
0.794,0.533,0.15,120.011,-8.206,0.14,0.0591,2.76e-05,Calm
0.769,0.722,0.57,119.973,-5.485,0.0584,0.0507,2.56e-06,Calm
0.832,0.684,0.68,166.976,-4.691,0.00449,0.359,0.0,Calm
0.65,0.642,0.186,111.907,-5.332,0.00502,0.04,0.0,Calm
0.92,0.699,0.484,129.054,-6.635,0.00768,0.358,0.0,Calm
0.757,0.628,0.321,119.98,-6.715,0.189,0.101,0.0209,Calm
0.749,0.709,0.564,78.53,-6.385,0.155,0.259,0.0,Calm
0.853,0.69,0.471,125.951,-5.858,0.0771,0.0647,0.0,Calm
0.863,0.754,0.301,131.001,-5.851,0.00125,0.0611,0.0,Energetic
0.608,0.4,0.089,106.682,-9.519,0.029,0.32,0.000327,Sad
0.662,0.509,0.549,157.94,-9.159,0.247,0.322,0.0,Calm
0.76,0.663,0.209,143.082,-4.763,0.109,0.0551,0.0,Calm
0.649,0.761,0.313,147.216,-4.204,0.00694,0.152,0.0,Energetic
0.672,0.663,0.381,184.057,-5.984,0.112,0.243,0.0,Calm
0.884,0.681,0.324,114.991,-5.839,0.0439,0.149,0.0,Calm
0.783,0.723,0.294,139.942,-4.881,0.0264,0.135,0.0,Calm
0.652,0.831,0.648,139.905,-5.972,0.0111,0.264,0.0,Energetic
0.776,0.525,0.467,75.013,-6.723,0.0366,0.137,0.0,Calm
0.427,0.5,0.269,63.925,-8.269,0.286,0.141,0.0,Calm
0.731,0.586,0.147,125.845,-7.564,0.116,0.172,0.0,Calm
0.64,0.552,0.112,144.941,-5.679,0.0215,0.129,0.0,Calm
0.898,0.472,0.214,101.061,-7.001,0.0107,0.0776,0.0,Sad
0.77,0.859,0.64,129.77,-3.382,0.362,0.275,0.0,Energetic
0.731,0.685,0.458,121.991,-4.707,0.054,0.12,0.0,Calm
0.916,0.578,0.192,124.005,-6.275,0.00349,0.124,0.00402,Calm
0.694,0.574,0.286,146.007,-6.144,0.193,0.0483,0.0,Calm
0.902,0.867,0.799,131.041,-3.108,0.0678,0.225,0.0,Happy
0.637,0.692,0.427,140.203,-7.231,0.0153,0.164,0.0,Calm
0.675,0.478,0.39,104.563,-10.201,0.0731,0.512,7.8e-06,Sad
0.661,0.878,0.514,82.557,-4.099,0.00289,0.31,0.0,Energetic
0.726,0.396,0.413,78.022,-9.121,0.269,0.283,0.0,Calm
0.974,0.711,0.328,117.038,-5.206,0.0988,0.194,3.92e-05,Calm
0.824,0.527,0.212,77.499,-5.506,0.149,0.118,0.0,Calm
0.638,0.752,0.242,158.042,-6.227,0.0066,0.0385,0.734,Energetic
0.654,0.826,0.417,108.52,-2.93,0.0153,0.354,0.00146,Energetic
0.898,0.472,0.214,101.061,-7.001,0.0107,0.0776,0.0,Sad
0.882,0.764,0.886,140.113,-5.241,0.359,0.204,0.0,Happy
0.64,0.552,0.112,144.941,-5.679,0.0215,0.129,0.0,Calm
0.848,0.632,0.253,123.987,-7.381,0.398,0.277,0.0,Calm
0.548,0.805,0.649,142.096,-5.732,0.212,0.351,0.000405,Energetic
0.772,0.631,0.433,121.854,-5.082,0.0648,0.0431,0.0,Calm
0.871,0.702,0.675,125.089,-8.025,0.296,0.253,0.0,Calm
0.787,0.57,0.733,142.974,-5.881,0.0449,0.225,0.0,Calm
0.709,0.583,0.533,116.624,-5.298,0.138,0.204,2.97e-06,Calm
0.82,0.592,0.4,159.98,-7.002,0.0149,0.29,4.71e-06,Calm
0.85,0.68,0.694,144.006,-6.18,0.732,0.338,0.0,Calm
0.681,0.758,0.331,165.409,-6.524,0.00465,0.188,0.0,Energetic
0.772,0.413,0.211,131.964,-8.194,0.0361,0.0891,0.0,Sad
0.752,0.658,0.387,151.951,-6.297,0.0421,0.342,0.0,Calm
0.548,0.732,0.612,142.791,-5.652,0.125,0.336,0.0,Calm
0.594,0.676,0.472,143.477,-5.808,0.135,0.344,0.0,Calm
0.49,0.618,0.286,99.7,-5.655,0.0221,0.104,3.77e-06,Calm
0.822,0.35,0.346,77.528,-12.207,0.0213,0.574,0.0,Sad
0.804,0.946,0.745,150.141,-5.949,0.002,0.352,0.0,Happy
0.819,0.626,0.415,143.01,-4.574,0.00748,0.202,0.101,Calm
0.696,0.592,0.232,188.051,-6.281,0.152,0.319,0.0,Calm
